"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-756778.646672182,-433880.042725491,-138860.327122049,-29006.1516282131,-84408.2537669407,-25144.7516500409,-198194.489360635,235117.17090469,57718.6172447029,242457.11553576,-176397.048473631,164847.855691373,-53078.0090667312,10725.4238679243,-175748.771209146,-15318.0974239156,39946.4088630889,6067.92023183921,27066.0937696311,-3645.52807070873,37700.9841974203,10313.3047410854,88557.3019386361,-17757.0578674364,32790.0146796791
-644943.125307483,-381115.454760446,-229284.039661976,-49772.3013675529,-244903.773528633,-67748.8710613297,-399571.656893773,437600.218360503,10028.8968871855,592014.380685084,-246161.816808609,384612.56418804,-15533.9918500192,74431.9839760389,-302979.361139255,26639.6316630864,29136.4609660886,116838.205541335,112660.636451706,-82935.2864218404,53781.0642482793,-200367.164676813,197490.795353785,-80288.334677554,26916.8983697303
-699422.486227832,-403103.188074114,-170235.85056639,-31166.7619838993,-109634.420806521,-36325.0668435796,-220852.672443156,237434.134100381,6954.48159502772,298742.865142052,-195052.550712726,190968.327157489,-69146.1976117284,-5627.93669082824,-187761.391856531,38172.3261838589,34755.5658730766,29619.1078932665,50668.4544499792,-66398.4918831235,46931.6427688865,-67541.7774361586,104796.755286834,-40525.449365124,13472.0526618972
-756530.29876922,-435446.498278627,-184752.959991952,-33466.7630418678,-124254.979772792,-41640.2549302312,-248684.602792507,268316.077029135,10879.9812651023,343943.156627184,-186030.305055849,231159.989033213,-100545.435324264,-24559.4689170907,-225941.110461584,15036.5821344107,28022.8056564878,63703.7956554311,77900.1605840084,-59885.4155111533,45973.4786739927,-118103.397633464,118110.506171399,-49529.7653071352,14310.9690358548
-628347.116262342,-364903.098645425,-174550.09382448,-34333.7260787126,-138797.232700011,-41547.3255422344,-264315.143970134,293334.343590565,20496.8832217584,383105.937831491,-194950.61857125,211009.920173115,-100884.595235214,-19984.8190749637,-222447.01851468,751.836219887641,39538.2367174726,39285.6529806026,66159.0037624149,-48762.2647679512,48269.6437758573,-87052.1502433498,119579.086965762,-49818.2225812874,21615.9859062768
-755263.454689643,-434066.024891864,-180042.355069495,-33708.9401201629,-112182.979521372,-41241.8190150535,-245178.764174062,264848.07399129,7199.20623931591,328752.538401442,-189843.130705745,230029.870340861,-47732.0818216349,14186.2751215119,-208931.160335438,-22073.1745368427,41792.024060076,28022.5477516575,52586.744289352,-58520.5176523482,36438.305299292,-75413.0732120346,119669.68688001,-25189.5350792948,14660.8073152968
-1258474.46842112,-713091.405773074,-204371.951414196,-39666.414930634,-67937.225930692,-22798.6087377852,-206734.233487053,256307.00966056,56248.4740127406,215424.23059068,-279510.571247459,260660.269912409,-38360.958873352,45703.0383915499,-244663.142366907,-58145.9059645781,87935.6722923241,-45726.0279671484,22052.4011712309,-33642.6741805008,76196.8492064622,108409.43947817,114737.001516548,-43706.8584445075,51716.055796469
-1090457.1988183,-621908.9499721,-189213.723765451,-34174.7789400995,-63642.9215736127,-32660.3822058472,-265046.548913365,310469.251670281,46120.3662823725,266650.428909005,-172710.754132588,183563.664489361,-181753.34466503,-82487.1924592039,-265007.502857054,-53038.7711271122,56647.005471709,-26255.4177168042,23628.1086488927,26131.2086999716,27044.5165811214,79367.0891764986,10706.4616705034,9061.23430177937,16458.1734394302
-1624441.65499524,-918094.60660288,-230345.342319631,-26498.4185295183,54845.9318910576,-3023.42408104701,-128365.660791173,191987.291944275,11619.5732747533,222246.950295653,-103000.711838434,31233.2990737511,-93581.3864419154,-48486.2269738085,-143268.595568955,-184757.544986638,51002.1562563345,27135.9296809112,13689.9960644771,52050.6585566379,57431.9736118393,172606.075533337,41548.1118801336,17360.8750112356,5864.68542933369
-2148111.12487899,-1206864.70519545,-255438.469297266,-22175.8429653291,114971.461582473,6694.60764791449,-51829.5538228634,83793.4330307102,44705.5866329846,71852.3238770166,-73323.9029836512,46270.392539531,-328391.832587109,-232814.627591495,-233847.156020438,-93565.5928276464,65254.7905955988,-35876.4679951447,5551.65329525433,-1706.11437628708,26844.5714119696,-1747.91149082978,118255.891611349,-10557.7021587202,3314.32849618528
-1122395.38117661,-643842.935881459,-274395.854144258,-50213.7331678208,-176771.060062196,-48877.8641205896,-334074.916060364,390729.407504712,2839.17631383299,508342.058882313,-286111.242602314,303834.054937437,-30838.0270594073,57817.5719777513,-281320.434811101,-46531.9632800414,43819.1997667398,106264.340935436,83240.6917363708,-73776.9009577538,56070.3175223741,-189012.323575345,194689.002985192,-52697.7124211437,23965.8927702511
-1219233.30066897,-691474.996674278,-193262.434178309,-24359.4496179164,7735.0034450121,-15015.9847116114,-165026.526923731,214425.224076087,9663.78603289133,224823.838272386,-47531.1857208313,164595.26443663,-70953.3708602322,-20171.8888231365,-209732.264427509,-187479.186537823,72250.0020661947,-31861.4107043644,7300.9521481603,101577.972682792,49255.4988422204,99172.1244850005,-1212.41932411692,-4568.45769131741,27085.2925912392
-1200316.8019289,-681541.333956056,-206980.937160561,-34309.2539534309,-42729.5771419616,-24016.8281404329,-213080.540911491,269079.176567303,10989.7264737375,292251.333917644,-163207.279436796,192997.392362268,-21663.8435411043,36183.5075120138,-201383.878133505,-143792.095840193,65741.1470423213,14407.1417277204,22090.2791616267,-23448.3014396621,44678.6119038349,39155.4880569034,108821.89004199,4890.4684652909,9628.13032557854
-3178992.64156292,-1781065.12293731,-341694.224940279,-15304.630911528,283442.332338654,27928.9004851728,36203.04785954,20607.2404260935,39352.1642676845,39277.4107172822,129604.045879827,103486.990914972,-251284.062459952,-198204.125954908,-278633.337003219,-370693.503970577,135802.026926202,-149357.773128715,-60452.2017894551,75099.7028065627,-2024.64632247645,-21215.2449949152,-54077.6338807646,66817.2371089679,42682.2686682758
-769470.870300077,-447219.470870893,-202413.760359513,-41148.3127272291,-161084.189413719,-43351.1875391281,-322283.096833324,379458.280138778,19710.1981754425,399156.406846051,-219056.521923756,287810.420075268,-59033.1294539329,34550.5096108136,-265296.648526114,14712.0037308402,44078.2845051272,38297.2036535441,62623.7111349017,-35626.5856086977,58990.032194093,10369.8290469075,42359.4611065073,-5583.20111872351,25421.4601083371
-614927.775601028,-362014.066031018,-237581.974464894,-52230.8970683128,-264130.186775611,-62312.1431837587,-390211.081951267,441498.832641364,-4088.80722237387,566554.088882761,-307245.633752624,374397.37804448,-61648.3234018935,48838.4182616072,-297936.920136555,58989.8904316469,6450.91107867856,175071.218326292,143690.432622379,-99929.6549667371,68120.211585056,-230962.840196734,251635.225393538,-75826.2317426005,-748.526724188283
